date,observer,oc,oce,source
2021-09-29,Stephen Futcher,-123.8,2.7,ExoClock observation
2021-09-08,Mauro Cal\xc3\xb3,-128.6,5.8,ExoClock observation
2021-09-02,Claudio Lopresti,-120.4,8.6,ExoClock observation
2021-08-30,Ana\xc3\xabl W\xc3\xbcnsche,-119.9,4.3,ExoClock observation
2021-08-30,Claudio Lopresti,-125.7,8.6,ExoClock observation
2021-08-27,Adrian Jones,-117.0,2.6,ExoClock observation
2021-08-27,Carmelo Falco,-124.6,2.0,ExoClock observation
2021-08-24,Carmelo Falco,-121.9,4.3,ExoClock observation
2021-08-21,Claudio Lopresti,-120.0,4.3,ExoClock observation
2021-08-21,Carmelo Falco,-120.5,1.6,ExoClock observation
2021-08-21,Carmelo Falco,-122.8,2.7,ExoClock observation
2021-08-18,Yves Jongen,-106.5,8.6,ExoClock observation
2021-08-13,Martin Crow,-114.2,4.3,ExoClock observation
2021-08-13,Carmelo Falco,-121.4,4.3,ExoClock observation
2021-08-13,Dimitrios Deligeorgopoulos,-122.8,8.6,ExoClock observation
2021-08-13,Carmelo Falco,-125.7,5.8,ExoClock observation
2021-08-10,Yves Jongen,-113.9,1.9,ExoClock observation
2021-08-07,Yves Jongen,-122.8,1.3,ExoClock observation
2021-07-23,Adrian Jones,-125.3,5.8,ExoClock observation
2021-07-20,Adrian Jones,-119.2,2.3,ExoClock observation
2021-07-20,Leon Bewersdorff,-121.9,4.3,ExoClock observation
2014-08-03,Claudio Lopresti,-55.4,8.6,ExoClock observation
2014-07-28,Claudio Lopresti,-50.2,8.6,ExoClock observation
2014-07-25,Claudio Lopresti,-49.7,7.2,ExoClock observation
