,index,date,observer,oc,oce,source
0,1,2022-03-07,Marc SERRAU,0.3,1.4,ExoClock observation
1,2,2022-03-07,Richard Abraham,-5.6,4.3,ExoClock observation
2,3,2022-03-07,Simon Dawes,-5.6,4.3,ExoClock observation
3,4,2022-02-23,Ana\xc3\xabl W\xc3\xbcnsche,1.3,1.0,ExoClock observation
4,5,2022-02-23,Alessandro Marchini,1.0,1.4,ExoClock observation
5,6,2022-02-18,Sebastien Brouillard,1.1,2.0,ExoClock observation
6,7,2022-02-12,Sebastien Brouillard,1.5,1.4,ExoClock observation
7,8,2022-02-06,Trevor Gainey,-1.1,2.6,ExoClock observation
8,9,2022-01-25,Andras Dan,4.2,1.4,ExoClock observation
9,10,2022-01-25,Jean-Bernard PIOPPA,0.2,2.6,ExoClock observation
10,12,2022-01-13,Giuseppe Conzo,-6.9,4.3,ExoClock observation
11,11,2022-01-13,Adrian Jones,-0.5,1.6,ExoClock observation
12,13,2021-12-10,Trevor Gainey,2.4,3.5,ExoClock observation
13,14,2021-06-13,John Savage,2.0,1.3,ExoClock observation
14,15,2021-05-14,Andrius Bruzas,-3.6,4.3,ExoClock observation
15,16,2021-03-29,Yves Jongen,-0.3,1.4,ExoClock observation
16,17,2021-03-23,Paul Benni,-1.3,1.2,ExoClock observation
17,18,2021-03-16,Paul Benni,-1.2,1.2,ExoClock observation
18,19,2021-03-06,Yves Jongen,2.2,0.9,ExoClock observation
19,20,2021-02-28,Matteo Cataneo,0.6,1.7,ExoClock observation
20,21,2021-02-28,Massimiliano Mannucci,-0.6,1.0,ExoClock observation
21,22,2021-02-22,Manfred Raetz,5.9,1.7,ExoClock observation
22,23,2021-01-18,Yves Jongen,0.1,1.0,ExoClock observation
23,24,2020-12-14,Alberto Tomatis,-3.4,1.0,ExoClock observation
24,25,2020-11-04,John Savage,4.1,4.3,ExoClock observation
25,27,2020-10-17,Francois Regembal,-5.8,2.9,ExoClock observation
26,26,2020-10-17,Yves Jongen,2.7,1.6,ExoClock observation
27,28,2020-06-06,Francois Regembal,5.3,3.6,ExoClock observation
28,29,2020-05-19,Ana\xc3\xabl W\xc3\xbcnsche,1.3,4.3,ExoClock observation
29,30,2020-04-09,Yves Jongen,3.0,1.4,ExoClock observation
30,31,2020-04-09,Ana\xc3\xabl W\xc3\xbcnsche,1.9,2.3,ExoClock observation
31,32,2020-04-09,Manfred Raetz,-4.6,1.0,ExoClock observation
32,33,2020-04-03,Yves Jongen,-0.3,1.7,ExoClock observation
33,34,2020-04-03,Ana\xc3\xabl W\xc3\xbcnsche,-3.8,2.6,ExoClock observation
34,35,2020-03-16,Yves Jongen,-0.4,1.0,ExoClock observation
35,36,2020-02-28,Yves Jongen,5.3,1.4,ExoClock observation
36,37,2020-02-22,Yves Jongen,2.9,1.3,ExoClock observation
37,38,2020-01-30,Yves Jongen,0.7,1.0,ExoClock observation
38,40,2019-12-08,Ana\xc3\xabl W\xc3\xbcnsche,-0.8,1.4,ExoClock observation
39,39,2019-12-08,Yves Jongen,2.1,1.4,ExoClock observation
40,41,2019-05-31,Ana\xc3\xabl W\xc3\xbcnsche,2.1,0.9,ExoClock observation
41,42,2019-05-31,Yves Jongen,1.2,1.6,ExoClock observation
42,43,2019-05-13,Ana\xc3\xabl W\xc3\xbcnsche,2.3,0.6,ExoClock observation
43,44,2019-05-13,Pere Guerra,-3.2,1.7,ExoClock observation
44,45,2019-04-20,Yves Jongen,3.9,1.7,ExoClock observation
45,46,2019-04-20,Ana\xc3\xabl W\xc3\xbcnsche,-2.9,2.3,ExoClock observation
46,47,2019-03-28,Mario Morales Aimar,1.6,2.4,ExoClock observation
47,48,2019-03-28,Yves Jongen,0.5,1.2,ExoClock observation
48,49,2019-03-28,Ana\xc3\xabl W\xc3\xbcnsche,-2.3,0.4,ExoClock observation
49,50,2019-03-22,Yves Jongen,2.6,1.3,ExoClock observation
50,52,2019-03-22,Ana\xc3\xabl W\xc3\xbcnsche,-3.6,1.9,ExoClock observation
51,51,2019-03-22,Ana\xc3\xabl W\xc3\xbcnsche,-0.1,1.0,ExoClock observation
52,53,2019-03-11,Yves Jongen,3.4,1.2,ExoClock observation
53,0,2016-04-29,Burdanov et al. 2018,-0.8,1.1,ExoClock literature
