,index,date,observer,oc,oce,source
0,31,2021-11-09,christian PANTACCHINI,-0.5,2.7,ExoClock observation
1,32,2021-11-06,Maurice Audejean,1.2,1.6,ExoClock observation
2,33,2021-11-03,Ana\xc3\xabl W\xc3\xbcnsche,1.2,0.9,ExoClock observation
3,36,2021-09-27,Mark Salisbury,-3.5,0.6,ExoClock observation
4,35,2021-09-27,Robert Roth,-2.5,0.4,ExoClock observation
5,34,2021-09-27,Dim Stouraitis,-2.0,2.9,ExoClock observation
6,38,2021-09-24,Mark Salisbury,-2.3,1.0,ExoClock observation
7,37,2021-09-24,Giuseppe Conzo,0.7,5.8,ExoClock observation
8,39,2021-09-21,Yves Jongen,-2.0,0.9,ExoClock observation
9,40,2021-09-13,Paolo Arcangelo Matassa,-9.4,5.8,ExoClock observation
10,41,2021-09-11,Taewoo Kim,-2.9,0.4,ExoClock observation
11,42,2021-08-06,Bernhard Wenzel,-1.9,0.7,ExoClock observation
12,43,2021-06-27,Paolo Arcangelo Matassa,0.5,5.8,ExoClock observation
13,44,2021-06-19,Andrius Bruzas,0.6,2.4,ExoClock observation
14,45,2020-10-27,Ferran Grau Horta,-0.3,2.0,ExoClock observation
15,46,2020-10-17,Taewoo Kim,-1.5,0.4,ExoClock observation
16,47,2020-09-17,Manfred Raetz,2.2,0.6,ExoClock observation
17,48,2020-09-17,Yves Jongen,-0.8,0.6,ExoClock observation
18,49,2020-09-14,Manfred Raetz,-1.1,0.6,ExoClock observation
19,50,2020-09-14,Adrian Jones,-1.1,1.2,ExoClock observation
20,51,2020-09-08,Yves Jongen,1.5,0.9,ExoClock observation
21,52,2020-08-23,Taewoo Kim,-2.5,0.6,ExoClock observation
22,53,2020-07-24,Yves Jongen,-2.8,0.9,ExoClock observation
23,54,2020-06-14,Francois Regembal,-1.4,1.0,ExoClock observation
24,55,2020-06-14,Ana\xc3\xabl W\xc3\xbcnsche,-1.7,1.2,ExoClock observation
25,56,2020-06-14,Adrian Jones,-2.5,1.2,ExoClock observation
26,57,2019-10-18,Alberto Tomatis,-2.6,2.2,ExoClock observation
27,58,2019-10-04,Ana\xc3\xabl W\xc3\xbcnsche,1.1,0.9,ExoClock observation
28,60,2019-09-02,Ana\xc3\xabl W\xc3\xbcnsche,-2.4,1.0,ExoClock observation
29,59,2019-09-02,Ana\xc3\xabl W\xc3\xbcnsche,0.7,0.4,ExoClock observation
30,61,2019-08-30,Dim Stouraitis,-0.2,1.2,ExoClock observation
31,62,2019-06-02,Ana\xc3\xabl W\xc3\xbcnsche,-0.4,0.3,ExoClock observation
32,63,2019-05-31,Ana\xc3\xabl W\xc3\xbcnsche,-2.2,1.0,ExoClock observation
33,64,2018-09-26,Ana\xc3\xabl W\xc3\xbcnsche,0.7,0.3,ExoClock observation
34,65,2018-08-12,Ana\xc3\xabl W\xc3\xbcnsche,-0.3,0.4,ExoClock observation
35,66,2018-07-08,Ana\xc3\xabl W\xc3\xbcnsche,-0.1,0.6,ExoClock observation
36,67,2018-05-23,Ana\xc3\xabl W\xc3\xbcnsche,0.0,1.0,ExoClock observation
37,68,2017-11-07,Mario Morales Aimar,0.1,1.4,ExoClock observation
38,69,2017-05-16,Ana\xc3\xabl W\xc3\xbcnsche,1.4,0.4,ExoClock observation
39,70,2016-12-13,Ana\xc3\xabl W\xc3\xbcnsche,0.1,0.4,ExoClock observation
40,71,2016-10-31,Ana\xc3\xabl W\xc3\xbcnsche,0.2,0.4,ExoClock observation
41,72,2016-10-31,Alessandro Marchini,-1.1,1.6,ExoClock observation
42,0,2016-10-28,Sokov et al. 2018,0.2,0.9,ExoClock literature
43,1,2016-08-14,Sokov et al. 2018,2.1,0.8,ExoClock literature
44,2,2016-07-31,Sokov et al. 2018,-0.8,0.8,ExoClock literature
45,3,2016-07-25,Sokov et al. 2018,-0.6,1.2,ExoClock literature
46,4,2016-06-26,Sokov et al. 2018,-2.4,0.8,ExoClock literature
47,73,2016-06-10,Ana\xc3\xabl W\xc3\xbcnsche,0.4,0.4,ExoClock observation
48,5,2016-04-02,Sokov et al. 2018,1.2,1.2,ExoClock literature
49,6,2016-03-27,Sokov et al. 2018,-1.8,1.0,ExoClock literature
50,7,2016-03-21,Sokov et al. 2018,-2.2,1.0,ExoClock literature
51,8,2016-03-19,Sokov et al. 2018,-0.7,0.5,ExoClock literature
52,74,2015-12-01,Ana\xc3\xabl W\xc3\xbcnsche,2.6,1.3,ExoClock observation
53,75,2015-11-28,Ana\xc3\xabl W\xc3\xbcnsche,4.7,1.0,ExoClock observation
54,76,2015-10-19,Ana\xc3\xabl W\xc3\xbcnsche,0.7,1.0,ExoClock observation
55,77,2015-10-16,Ana\xc3\xabl W\xc3\xbcnsche,0.8,0.9,ExoClock observation
56,78,2015-09-03,Ana\xc3\xabl W\xc3\xbcnsche,0.0,0.6,ExoClock observation
